N,time
45000,1.32678e+06
45100,1.25143e+06
45200,1.36242e+06
45300,1.47287e+06
45400,1.34033e+06
45500,1.44012e+06
45600,1.33677e+06
45700,1.26835e+06
45800,1.73676e+06
45900,1.29753e+06
46000,1.29427e+06
46100,1.34323e+06
46200,1.46639e+06
46300,1.36937e+06
46400,1.35008e+06
46500,1.32697e+06
46600,1.33979e+06
46700,1.38875e+06
46800,1.37385e+06
46900,1.29279e+06
47000,1.34829e+06
47100,1.34216e+06
47200,1.31226e+06
47300,1.39018e+06
47400,1.32966e+06
47500,1.47895e+06
47600,1.3343e+06
47700,1.40321e+06
47800,1.36456e+06
47900,1.37243e+06
48000,1.44183e+06
48100,1.46055e+06
48200,1.4782e+06
48300,1.38741e+06
48400,1.36325e+06
48500,1.39791e+06
48600,1.40128e+06
48700,1.91304e+06
48800,1.39092e+06
48900,1.58336e+06
49000,1.64998e+06
49100,1.3262e+06
49200,1.47507e+06
49300,1.55527e+06
49400,1.35506e+06
49500,1.31265e+06
49600,1.31163e+06
49700,1.33678e+06
49800,1.48364e+06
49900,1.4736e+06
50000,1.3714e+06
50100,1.35224e+06
50200,1.34265e+06
50300,1.33461e+06
50400,1.39537e+06
50500,1.37798e+06
50600,1.51366e+06
50700,1.38469e+06
50800,1.43838e+06
50900,1.43526e+06
51000,1.3618e+06
51100,1.36502e+06
51200,1.36263e+06
51300,1.38404e+06
51400,1.41131e+06
51500,1.39082e+06
51600,1.43048e+06
51700,1.39659e+06
51800,1.38373e+06
51900,1.38366e+06
52000,1.38298e+06
52100,1.38358e+06
52200,1.38954e+06
52300,1.38544e+06
52400,1.39675e+06
52500,1.3959e+06
52600,1.40018e+06
52700,1.39384e+06
52800,1.42119e+06
52900,1.46134e+06
53000,1.40048e+06
53100,1.41135e+06
53200,1.41001e+06
53300,1.42459e+06
53400,1.40924e+06
53500,1.42077e+06
53600,1.42676e+06
53700,1.4186e+06
53800,1.42143e+06
53900,1.43952e+06
54000,1.42729e+06
54100,1.42783e+06
54200,1.44249e+06
54300,1.66858e+06
54400,1.43586e+06
54500,1.43779e+06
54600,1.46053e+06
54700,1.44627e+06
54800,1.4461e+06
54900,1.46231e+06
55000,1.45353e+06
55100,1.49138e+06
55200,1.45336e+06
55300,1.47624e+06
55400,1.46048e+06
55500,1.46293e+06
55600,1.58452e+06
55700,1.47712e+06
55800,1.51986e+06
55900,1.48799e+06
56000,1.51269e+06
56100,1.48053e+06
56200,1.48567e+06
56300,1.50543e+06
56400,1.4951e+06
56500,1.48989e+06
56600,1.50454e+06
56700,1.75084e+06
56800,1.49835e+06
56900,1.51874e+06
57000,1.51514e+06
57100,1.50621e+06
57200,1.51369e+06
57300,1.51814e+06
57400,1.56337e+06
57500,1.52146e+06
57600,1.53638e+06
57700,1.54259e+06
57800,1.52159e+06
57900,1.53218e+06
58000,1.53178e+06
58100,1.54273e+06
58200,1.8135e+06
58300,1.53872e+06
58400,1.54303e+06
58500,1.55251e+06
58600,1.54134e+06
58700,1.55445e+06
58800,1.6122e+06
58900,1.55516e+06
59000,1.57243e+06
59100,1.57476e+06
59200,1.56682e+06
59300,1.56058e+06
59400,1.66212e+06
59500,1.70624e+06
59600,1.56761e+06
59700,1.58302e+06
59800,1.58214e+06
59900,1.6196e+06
60000,1.64116e+06
60100,1.61453e+06
60200,1.58673e+06
60300,1.59184e+06
60400,1.60518e+06
60500,1.59311e+06
60600,1.60629e+06
60700,1.65584e+06
60800,1.5981e+06
60900,1.60238e+06
61000,1.61483e+06
61100,1.60555e+06
61200,1.61008e+06
61300,1.62503e+06
61400,1.61429e+06
61500,1.61702e+06
61600,1.6286e+06
61700,1.623e+06
61800,1.62342e+06
61900,1.64938e+06
62000,1.68794e+06
62100,1.65507e+06
62200,1.65654e+06
62300,1.6593e+06
62400,1.64661e+06
62500,1.66276e+06
62600,1.85559e+06
62700,1.65784e+06
62800,1.66433e+06
62900,1.81579e+06
63000,1.65659e+06
63100,1.71874e+06
63200,1.67467e+06
63300,1.66783e+06
63400,1.68011e+06
63500,1.68246e+06
63600,1.68901e+06
63700,1.68398e+06
63800,1.68637e+06
63900,1.6858e+06
64000,1.68684e+06
64100,1.69408e+06
64200,1.69698e+06
64300,1.77055e+06
64400,1.70138e+06
64500,1.7262e+06
64600,1.70146e+06
64700,1.70357e+06
64800,1.73254e+06
64900,1.70591e+06
65000,1.86973e+06
65100,1.9828e+06
65200,1.7193e+06
65300,1.73074e+06
65400,1.78318e+06
65500,1.71635e+06
65600,1.78565e+06
65700,1.7436e+06
65800,1.77093e+06
65900,1.75627e+06
66000,1.74103e+06
66100,1.74034e+06
66200,1.75845e+06
66300,1.74905e+06
66400,1.797e+06
66500,1.83399e+06
66600,1.77354e+06
66700,1.7592e+06
66800,1.77693e+06
66900,1.76434e+06
67000,1.78346e+06
67100,1.79027e+06
67200,1.95208e+06
67300,1.78326e+06
67400,1.96785e+06
67500,1.78181e+06
67600,1.84235e+06
67700,1.80084e+06
67800,1.7828e+06
67900,1.80849e+06
68000,1.79598e+06
68100,1.79921e+06
68200,1.79413e+06
68300,2.07844e+06
68400,1.80729e+06
68500,1.85301e+06
