N,time
47500,1.16316e+06
47600,1.16077e+06
47700,1.1658e+06
47800,1.17123e+06
47900,1.17249e+06
48000,1.36774e+06
48100,1.16933e+06
48200,1.17593e+06
48300,1.19127e+06
48400,1.18016e+06
48500,1.18348e+06
48600,1.22731e+06
48700,1.2236e+06
48800,1.19981e+06
48900,1.19145e+06
49000,1.19401e+06
49100,1.2184e+06
49200,1.20461e+06
49300,1.2074e+06
49400,1.20829e+06
49500,1.2134e+06
49600,1.21828e+06
49700,1.25407e+06
49800,1.21058e+06
49900,1.22294e+06
50000,1.24794e+06
50100,1.21804e+06
50200,1.45397e+06
50300,1.22905e+06
50400,1.23362e+06
50500,1.22679e+06
50600,1.22817e+06
50700,1.23822e+06
50800,1.24214e+06
50900,1.23587e+06
51000,1.23717e+06
51100,1.24815e+06
51200,1.25299e+06
51300,1.24554e+06
51400,1.24714e+06
51500,1.25792e+06
51600,1.26256e+06
51700,1.30233e+06
51800,1.294e+06
51900,1.28608e+06
52000,1.267e+06
52100,1.26767e+06
52200,1.26581e+06
52300,1.2757e+06
52400,1.27306e+06
52500,1.27757e+06
52600,1.2768e+06
52700,1.28692e+06
52800,1.28761e+06
52900,1.28981e+06
53000,1.29015e+06
53100,1.29267e+06
53200,1.29177e+06
53300,1.35203e+06
53400,1.31855e+06
53500,1.30236e+06
53600,1.34411e+06
53700,1.32186e+06
53800,1.32299e+06
53900,1.30566e+06
54000,1.31502e+06
54100,1.31504e+06
54200,1.31937e+06
54300,1.31605e+06
54400,1.32118e+06
54500,1.38475e+06
54600,1.33122e+06
54700,1.32708e+06
54800,1.39433e+06
54900,1.34222e+06
55000,1.33295e+06
55100,1.33401e+06
55200,1.34386e+06
55300,1.39705e+06
55400,1.33857e+06
55500,1.3838e+06
55600,1.4042e+06
55700,1.35361e+06
55800,1.3485e+06
55900,1.3505e+06
56000,1.43051e+06
56100,1.3638e+06
56200,1.36321e+06
56300,1.4188e+06
56400,1.47592e+06
56500,1.432e+06
56600,1.55006e+06
56700,1.52544e+06
56800,1.52422e+06
56900,1.44702e+06
57000,1.51206e+06
57100,1.49519e+06
57200,1.53777e+06
57300,1.47941e+06
57400,1.44722e+06
57500,1.4407e+06
57600,1.43116e+06
57700,1.83937e+06
57800,1.51646e+06
57900,2.20598e+06
58000,2.32608e+06
58100,1.48041e+06
58200,1.45246e+06
58300,1.43228e+06
58400,1.4115e+06
58500,1.41917e+06
58600,1.41969e+06
58700,1.42348e+06
58800,1.56325e+06
58900,1.5098e+06
59000,1.47469e+06
59100,1.42987e+06
59200,1.44203e+06
59300,1.43307e+06
59400,1.43503e+06
59500,1.43661e+06
59600,1.44354e+06
59700,1.49636e+06
59800,1.46902e+06
59900,1.51957e+06
60000,1.50646e+06
60100,1.49252e+06
60200,1.49146e+06
60300,1.50749e+06
60400,1.70898e+06
60500,1.54616e+06
60600,1.5972e+06
60700,1.55854e+06
60800,1.54966e+06
